ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8635604795871907,0.9341335304193422,0.44337016574585636,0.8734693877551021,0.5881814017407238,0.5593882243908361
Decision Tree,0.8952800121414479,0.7245367432931491,0.5322812051649928,0.5047619047619047,0.5181564245810056,0.4596631463302967
KNN,0.9018060403703142,0.8563463786607913,0.5866141732283464,0.4054421768707483,0.47948511665325827,0.43616069099885457
Naive Bayes,0.814387615723175,0.8288905312722971,0.3298465829846583,0.6435374149659864,0.43614568925772246,0.36572744184920913
Random Forest (Ensemble),0.916375777811504,0.9409309060146095,0.715962441314554,0.41496598639455784,0.5254091300602929,0.5047681125947581
